Gene: group_10061, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035765', 'ERR4035970', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_720, Count of 1s: 7, Samples with 1s: ['ERR4034313', 'ERR4034955', 'ERR4035208', 'ERR4035765', 'ERR4035939', 'ERR4036045', 'ERR4037099']
Gene: group_7239, Count of 1s: 7, Samples with 1s: ['ERR4034793', 'ERR4035406', 'ERR4035408', 'ERR4036745', 'ERR4036769', 'ERR4037107', 'ERR4037391']
Gene: group_7245, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_7289, Count of 1s: 7, Samples with 1s: ['ERR4035238', 'ERR4035268', 'ERR4035568', 'ERR4036178', 'ERR4037107', 'ERR4037146', 'ERR4037405']
Gene: group_7295, Count of 1s: 7, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4035970', 'ERR4036199', 'ERR4036769', 'ERR4036930', 'ERR4037009']
Gene: group_7374, Count of 1s: 7, Samples with 1s: ['ERR4034111', 'ERR4034964', 'ERR4035377', 'ERR4036199', 'ERR4036280', 'ERR4036483', 'ERR4037259']
Gene: ndhD, Count of 1s: 7, Samples with 1s: ['ERR4034234', 'ERR4034313', 'ERR4035969', 'ERR4036397', 'ERR4036811', 'ERR4036955', 'ERR4037405']
Gene: group_7409, Count of 1s: 7, Samples with 1s: ['ERR4034629', 'ERR4034854', 'ERR4034915', 'ERR4035318', 'ERR4035939', 'ERR4036045', 'ERR4036182']
Gene: nagL, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4036199', 'ERR4036380', 'ERR4036769']
Gene: group_7454, Count of 1s: 7, Samples with 1s: ['ERR4034231', 'ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393']
Gene: caf1A, Count of 1s: 7, Samples with 1s: ['ERR4034870', 'ERR4035274', 'ERR4035900', 'ERR4036171', 'ERR4036175', 'ERR4036489', 'ERR4037007']
Gene: group_751, Count of 1s: 7, Samples with 1s: ['ERR4034137', 'ERR4034234', 'ERR4035520', 'ERR4036175', 'ERR4036499', 'ERR4036771', 'ERR4036921']
Gene: group_7544, Count of 1s: 7, Samples with 1s: ['ERR4034825', 'ERR4035268', 'ERR4035970', 'ERR4036171', 'ERR4036499', 'ERR4036930', 'ERR4037009']
Gene: group_7654, Count of 1s: 7, Samples with 1s: ['ERR4036245', 'ERR4036936', 'ERR4036955', 'ERR4037382', 'ERR4037405', 'ERR4037406', 'ERR4037448']
Gene: group_7677, Count of 1s: 7, Samples with 1s: ['ERR4034234', 'ERR4034506', 'ERR4034672', 'ERR4035683', 'ERR4035969', 'ERR4036245', 'ERR4036811']
Gene: group_768, Count of 1s: 7, Samples with 1s: ['ERR4034814', 'ERR4035238', 'ERR4035561', 'ERR4035590', 'ERR4036140', 'ERR4036154', 'ERR4036178']
Gene: group_7688, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035431', 'ERR4035454', 'ERR4035669', 'ERR4037391']
Gene: group_769, Count of 1s: 7, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035568', 'ERR4036038', 'ERR4036501']
Gene: group_7715, Count of 1s: 7, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4036483', 'ERR4036499', 'ERR4037150']
Gene: group_7778, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_7812, Count of 1s: 7, Samples with 1s: ['ERR4035135', 'ERR4035406', 'ERR4036131', 'ERR4036423', 'ERR4036745', 'ERR4037393', 'ERR4037404']
Gene: group_7835, Count of 1s: 7, Samples with 1s: ['ERR4036811', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037405', 'ERR4037423', 'ERR4037448']
Gene: group_7881, Count of 1s: 7, Samples with 1s: ['ERR4035421', 'ERR4035431', 'ERR4035454', 'ERR4035669', 'ERR4036280', 'ERR4036654', 'ERR4037391']
Gene: group_7915, Count of 1s: 7, Samples with 1s: ['ERR4034854', 'ERR4034942', 'ERR4035318', 'ERR4036397', 'ERR4036673', 'ERR4037116', 'ERR4037259']
Gene: group_7928, Count of 1s: 7, Samples with 1s: ['ERR4034367', 'ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4036483', 'ERR4037150']
Gene: group_7931, Count of 1s: 7, Samples with 1s: ['ERR4035268', 'ERR4035568', 'ERR4035969', 'ERR4036178', 'ERR4036391', 'ERR4036745', 'ERR4037406']
Gene: group_7952, Count of 1s: 7, Samples with 1s: ['ERR4035328', 'ERR4035568', 'ERR4036245', 'ERR4036673', 'ERR4037218', 'ERR4037259', 'ERR4037406']
Gene: group_7967, Count of 1s: 7, Samples with 1s: ['ERR4034234', 'ERR4035454', 'ERR4036397', 'ERR4036614', 'ERR4036794', 'ERR4036936', 'ERR4037260']
Gene: ysdC_1, Count of 1s: 7, Samples with 1s: ['ERR4034631', 'ERR4034955', 'ERR4035712', 'ERR4036175', 'ERR4036489', 'ERR4036614', 'ERR4036777']
Gene: group_8018, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034825', 'ERR4034864', 'ERR4035561', 'ERR4035939', 'ERR4036947', 'ERR4037404']
Gene: group_8022, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035318', 'ERR4035328', 'ERR4036380', 'ERR4037260']
Gene: group_8085, Count of 1s: 7, Samples with 1s: ['ERR4034814', 'ERR4034955', 'ERR4035939', 'ERR4035952', 'ERR4036175', 'ERR4036423', 'ERR4037260']
Gene: group_8096, Count of 1s: 7, Samples with 1s: ['ERR4034667', 'ERR4034938', 'ERR4035418', 'ERR4035598', 'ERR4036673', 'ERR4036985', 'ERR4037116']
Gene: group_811, Count of 1s: 7, Samples with 1s: ['ERR4034601', 'ERR4035159', 'ERR4035236', 'ERR4035827', 'ERR4036764', 'ERR4037260', 'ERR4037393']
Gene: group_8113, Count of 1s: 7, Samples with 1s: ['ERR4034154', 'ERR4034699', 'ERR4035283', 'ERR4035808', 'ERR4036501', 'ERR4036900', 'ERR4037222']
Gene: caf1M, Count of 1s: 7, Samples with 1s: ['ERR4034870', 'ERR4035274', 'ERR4035900', 'ERR4036171', 'ERR4036175', 'ERR4036489', 'ERR4037007']
Gene: group_8155, Count of 1s: 7, Samples with 1s: ['ERR4034964', 'ERR4035377', 'ERR4035683', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_8245, Count of 1s: 7, Samples with 1s: ['ERR4034154', 'ERR4034699', 'ERR4035283', 'ERR4035808', 'ERR4036163', 'ERR4036501', 'ERR4037222']
Gene: group_8246, Count of 1s: 7, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4035692', 'ERR4036348', 'ERR4036391', 'ERR4037099', 'ERR4037378']
Gene: group_8280, Count of 1s: 7, Samples with 1s: ['ERR4034467', 'ERR4034538', 'ERR4034563', 'ERR4036045', 'ERR4036163', 'ERR4036391', 'ERR4037260']
Gene: group_8375, Count of 1s: 7, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4035817', 'ERR4035919', 'ERR4036955', 'ERR4037382', 'ERR4037448']
Gene: group_8492, Count of 1s: 7, Samples with 1s: ['ERR4034234', 'ERR4035683', 'ERR4035817', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_8508, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4035135', 'ERR4035328', 'ERR4035692', 'ERR4036380', 'ERR4036811', 'ERR4036955']
Gene: group_8514, Count of 1s: 7, Samples with 1s: ['ERR4034376', 'ERR4035542', 'ERR4035765', 'ERR4036037', 'ERR4036288', 'ERR4036535', 'ERR4037150']
Gene: group_8518, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4036380', 'ERR4036483', 'ERR4036501']
Gene: group_8572, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: nplT, Count of 1s: 7, Samples with 1s: ['ERR4035919', 'ERR4035969', 'ERR4037218', 'ERR4037259', 'ERR4037382', 'ERR4037423', 'ERR4037448']
Gene: group_868, Count of 1s: 7, Samples with 1s: ['ERR4034367', 'ERR4034691', 'ERR4034762', 'ERR4035408', 'ERR4036900', 'ERR4037378', 'ERR4037442']
Gene: group_8691, Count of 1s: 7, Samples with 1s: ['ERR4034601', 'ERR4035159', 'ERR4035236', 'ERR4035827', 'ERR4036764', 'ERR4037260', 'ERR4037393']
Gene: group_8695, Count of 1s: 7, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4035152', 'ERR4035377', 'ERR4035568', 'ERR4036038', 'ERR4036499']
Gene: group_8698, Count of 1s: 7, Samples with 1s: ['ERR4034667', 'ERR4034814', 'ERR4035406', 'ERR4036383', 'ERR4036745', 'ERR4037362', 'ERR4037391']
Gene: group_8731, Count of 1s: 7, Samples with 1s: ['ERR4034870', 'ERR4035690', 'ERR4036171', 'ERR4036186', 'ERR4036333', 'ERR4037099', 'ERR4037202']
Gene: group_8794, Count of 1s: 7, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034234', 'ERR4035152', 'ERR4035568', 'ERR4036038', 'ERR4036936']
Gene: group_8825, Count of 1s: 7, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4035152', 'ERR4035568', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_8835, Count of 1s: 7, Samples with 1s: ['ERR4034506', 'ERR4034519', 'ERR4035268', 'ERR4035955', 'ERR4035970', 'ERR4036171', 'ERR4037151']
Gene: group_8939, Count of 1s: 7, Samples with 1s: ['ERR4035318', 'ERR4035683', 'ERR4036182', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_8971, Count of 1s: 7, Samples with 1s: ['ERR4034376', 'ERR4034793', 'ERR4035135', 'ERR4036171', 'ERR4036199', 'ERR4037007', 'ERR4037107']
Gene: group_8989, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: group_9013, Count of 1s: 7, Samples with 1s: ['ERR4034137', 'ERR4034154', 'ERR4034743', 'ERR4036037', 'ERR4036483', 'ERR4036879', 'ERR4036894']
Gene: group_9047, Count of 1s: 7, Samples with 1s: ['ERR4034313', 'ERR4035969', 'ERR4036397', 'ERR4036955', 'ERR4037382', 'ERR4037406', 'ERR4037423']
Gene: group_9068, Count of 1s: 7, Samples with 1s: ['ERR4034254', 'ERR4034467', 'ERR4034506', 'ERR4034563', 'ERR4036045', 'ERR4036163', 'ERR4036900']
Gene: group_9082, Count of 1s: 7, Samples with 1s: ['ERR4034162', 'ERR4034462', 'ERR4035328', 'ERR4035377', 'ERR4035919', 'ERR4036380', 'ERR4037260']
Gene: group_9178, Count of 1s: 7, Samples with 1s: ['ERR4034944', 'ERR4034971', 'ERR4035135', 'ERR4035283', 'ERR4035919', 'ERR4037300', 'ERR4037362']
Gene: group_9247, Count of 1s: 7, Samples with 1s: ['ERR4034234', 'ERR4034672', 'ERR4035683', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_9249, Count of 1s: 7, Samples with 1s: ['ERR4034231', 'ERR4034301', 'ERR4036131', 'ERR4036383', 'ERR4036423', 'ERR4037393', 'ERR4037404']
Gene: group_9278, Count of 1s: 7, Samples with 1s: ['ERR4034672', 'ERR4035817', 'ERR4035919', 'ERR4035969', 'ERR4037406', 'ERR4037423', 'ERR4037448']
Gene: group_9313, Count of 1s: 7, Samples with 1s: ['ERR4034367', 'ERR4034691', 'ERR4034762', 'ERR4035408', 'ERR4036900', 'ERR4037378', 'ERR4037442']
Gene: group_941, Count of 1s: 7, Samples with 1s: ['ERR4034530', 'ERR4034598', 'ERR4036144', 'ERR4036424', 'ERR4036921', 'ERR4037046', 'ERR4037396']
Gene: group_9455, Count of 1s: 7, Samples with 1s: ['ERR4034519', 'ERR4034699', 'ERR4035229', 'ERR4036107', 'ERR4036664', 'ERR4036879', 'ERR4036894']
Gene: group_9456, Count of 1s: 7, Samples with 1s: ['ERR4034631', 'ERR4034955', 'ERR4035712', 'ERR4036175', 'ERR4036489', 'ERR4036614', 'ERR4036777']
Gene: group_9464, Count of 1s: 7, Samples with 1s: ['ERR4034814', 'ERR4034915', 'ERR4035939', 'ERR4035952', 'ERR4036140', 'ERR4036144', 'ERR4036501']
Gene: group_9478, Count of 1s: 7, Samples with 1s: ['ERR4034667', 'ERR4034691', 'ERR4035051', 'ERR4035408', 'ERR4036154', 'ERR4036794', 'ERR4036900']
Gene: group_9485, Count of 1s: 7, Samples with 1s: ['ERR4034714', 'ERR4035159', 'ERR4035520', 'ERR4036045', 'ERR4037099', 'ERR4037382', 'ERR4037393']
Gene: group_9491, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035431', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: ybiI_2, Count of 1s: 7, Samples with 1s: ['ERR4034137', 'ERR4034538', 'ERR4036936', 'ERR4036955', 'ERR4037259', 'ERR4037406', 'ERR4037423']
Gene: group_9495, Count of 1s: 7, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4034672', 'ERR4036955', 'ERR4037382', 'ERR4037406', 'ERR4037448']
Gene: group_9513, Count of 1s: 7, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035454', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: group_956, Count of 1s: 7, Samples with 1s: ['ERR4035236', 'ERR4035561', 'ERR4035690', 'ERR4036154', 'ERR4036535', 'ERR4037202', 'ERR4037392']
Gene: group_9605, Count of 1s: 7, Samples with 1s: ['ERR4034530', 'ERR4034598', 'ERR4036144', 'ERR4036424', 'ERR4036900', 'ERR4036921', 'ERR4037396']
Gene: group_9675, Count of 1s: 7, Samples with 1s: ['ERR4034667', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035826', 'ERR4036380', 'ERR4036501']
Gene: group_9695, Count of 1s: 7, Samples with 1s: ['ERR4034154', 'ERR4034519', 'ERR4034825', 'ERR4036038', 'ERR4036664', 'ERR4036879', 'ERR4037435']
Gene: group_9707, Count of 1s: 7, Samples with 1s: ['ERR4035408', 'ERR4035970', 'ERR4035976', 'ERR4036199', 'ERR4036413', 'ERR4036424', 'ERR4036745']
Gene: group_9727, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_9740, Count of 1s: 7, Samples with 1s: ['ERR4034254', 'ERR4034506', 'ERR4034672', 'ERR4035919', 'ERR4035969', 'ERR4037382', 'ERR4037423']
Gene: group_9790, Count of 1s: 7, Samples with 1s: ['ERR4034672', 'ERR4035976', 'ERR4036182', 'ERR4036348', 'ERR4036383', 'ERR4036413', 'ERR4036956']
Gene: group_9797, Count of 1s: 7, Samples with 1s: ['ERR4034475', 'ERR4034800', 'ERR4035771', 'ERR4036764', 'ERR4036856', 'ERR4036947', 'ERR4037329']
Gene: group_9849, Count of 1s: 7, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_9890, Count of 1s: 7, Samples with 1s: ['ERR4035236', 'ERR4035561', 'ERR4035690', 'ERR4036154', 'ERR4036930', 'ERR4037202', 'ERR4037392']
Gene: group_10009, Count of 1s: 6, Samples with 1s: ['ERR4035939', 'ERR4035952', 'ERR4036175', 'ERR4036900', 'ERR4037007', 'ERR4037116']
Gene: group_10077, Count of 1s: 6, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4035152', 'ERR4035568', 'ERR4036038', 'ERR4036936']
Gene: group_10135, Count of 1s: 6, Samples with 1s: ['ERR4034234', 'ERR4034964', 'ERR4035377', 'ERR4036501', 'ERR4036664', 'ERR4036936']
Gene: group_10139, Count of 1s: 6, Samples with 1s: ['ERR4035268', 'ERR4035970', 'ERR4036171', 'ERR4036182', 'ERR4036930', 'ERR4037009']
Gene: group_10140, Count of 1s: 6, Samples with 1s: ['ERR4034234', 'ERR4034884', 'ERR4034979', 'ERR4035238', 'ERR4036178', 'ERR4036199']
Gene: group_10147, Count of 1s: 6, Samples with 1s: ['ERR4034864', 'ERR4034955', 'ERR4035268', 'ERR4035939', 'ERR4036045', 'ERR4036171']
Gene: group_10150, Count of 1s: 6, Samples with 1s: ['ERR4036348', 'ERR4036383', 'ERR4036413', 'ERR4036956', 'ERR4037405', 'ERR4037423']
Gene: group_10161, Count of 1s: 6, Samples with 1s: ['ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035568', 'ERR4036038', 'ERR4036936']
Gene: group_10165, Count of 1s: 6, Samples with 1s: ['ERR4034964', 'ERR4035152', 'ERR4035377', 'ERR4035568', 'ERR4036038', 'ERR4036936']
Gene: group_10184, Count of 1s: 6, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4035152', 'ERR4035568', 'ERR4036199', 'ERR4036769']
Gene: group_10185, Count of 1s: 6, Samples with 1s: ['ERR4034538', 'ERR4034691', 'ERR4034964', 'ERR4035826', 'ERR4037007', 'ERR4037099']
Gene: group_10199, Count of 1s: 6, Samples with 1s: ['ERR4034672', 'ERR4035683', 'ERR4035817', 'ERR4035919', 'ERR4036245', 'ERR4037382']
Gene: group_10209, Count of 1s: 6, Samples with 1s: ['ERR4034231', 'ERR4034687', 'ERR4034980', 'ERR4035520', 'ERR4035919', 'ERR4036423']
Gene: group_10276, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_10286, Count of 1s: 6, Samples with 1s: ['ERR4034475', 'ERR4034825', 'ERR4035808', 'ERR4035969', 'ERR4036391', 'ERR4037259']
Gene: group_10294, Count of 1s: 6, Samples with 1s: ['ERR4034964', 'ERR4035208', 'ERR4035268', 'ERR4035377', 'ERR4035564', 'ERR4036199']
Gene: group_10334, Count of 1s: 6, Samples with 1s: ['ERR4035212', 'ERR4035421', 'ERR4035564', 'ERR4036154', 'ERR4036654', 'ERR4037396']
Gene: group_1035, Count of 1s: 6, Samples with 1s: ['ERR4034234', 'ERR4035683', 'ERR4036245', 'ERR4036811', 'ERR4037218', 'ERR4037259']
Gene: group_10387, Count of 1s: 6, Samples with 1s: ['ERR4035238', 'ERR4035564', 'ERR4036178', 'ERR4036777', 'ERR4037405', 'ERR4037448']
Gene: group_10429, Count of 1s: 6, Samples with 1s: ['ERR4034394', 'ERR4034815', 'ERR4035421', 'ERR4035454', 'ERR4035669', 'ERR4037391']
Gene: group_1043, Count of 1s: 6, Samples with 1s: ['ERR4034714', 'ERR4035208', 'ERR4035919', 'ERR4036535', 'ERR4036777', 'ERR4037382']
Gene: group_10433, Count of 1s: 6, Samples with 1s: ['ERR4035229', 'ERR4035268', 'ERR4035826', 'ERR4036107', 'ERR4036171', 'ERR4036501']
Gene: group_10445, Count of 1s: 6, Samples with 1s: ['ERR4034137', 'ERR4034154', 'ERR4034743', 'ERR4036037', 'ERR4036879', 'ERR4036894']
Gene: group_10507, Count of 1s: 6, Samples with 1s: ['ERR4034506', 'ERR4035970', 'ERR4036930', 'ERR4037382', 'ERR4037423', 'ERR4037448']
Gene: group_10531, Count of 1s: 6, Samples with 1s: ['ERR4034964', 'ERR4035377', 'ERR4035683', 'ERR4036245', 'ERR4037218', 'ERR4037259']
Gene: group_10537, Count of 1s: 6, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4036348', 'ERR4036391', 'ERR4036413', 'ERR4037378']
Gene: group_10587, Count of 1s: 6, Samples with 1s: ['ERR4034530', 'ERR4034714', 'ERR4036144', 'ERR4036424', 'ERR4036501', 'ERR4037046']
Gene: group_10591, Count of 1s: 6, Samples with 1s: ['ERR4034254', 'ERR4034964', 'ERR4035683', 'ERR4036245', 'ERR4037218', 'ERR4037259']
Gene: group_10623, Count of 1s: 6, Samples with 1s: ['ERR4034234', 'ERR4035431', 'ERR4036769', 'ERR4036955', 'ERR4037218', 'ERR4037259']
Gene: group_10625, Count of 1s: 6, Samples with 1s: ['ERR4034137', 'ERR4035229', 'ERR4035683', 'ERR4035817', 'ERR4036483', 'ERR4036769']
Gene: group_10634, Count of 1s: 6, Samples with 1s: ['ERR4034827', 'ERR4035969', 'ERR4036280', 'ERR4036397', 'ERR4036664', 'ERR4037435']
Gene: group_10644, Count of 1s: 6, Samples with 1s: ['ERR4034699', 'ERR4035808', 'ERR4035900', 'ERR4035970', 'ERR4037150', 'ERR4037435']
Gene: group_10653, Count of 1s: 6, Samples with 1s: ['ERR4034530', 'ERR4034598', 'ERR4036144', 'ERR4036424', 'ERR4036771', 'ERR4036921']
Gene: group_10663, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4035328', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_10666, Count of 1s: 6, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4036199', 'ERR4036769', 'ERR4037218', 'ERR4037259']
Gene: group_1067, Count of 1s: 6, Samples with 1s: ['ERR4034394', 'ERR4034762', 'ERR4035421', 'ERR4035669', 'ERR4036654', 'ERR4037391']
Gene: group_10700, Count of 1s: 6, Samples with 1s: ['ERR4035051', 'ERR4035135', 'ERR4035406', 'ERR4035408', 'ERR4036745', 'ERR4036794']
Gene: group_10720, Count of 1s: 6, Samples with 1s: ['ERR4034672', 'ERR4035976', 'ERR4036348', 'ERR4036383', 'ERR4036413', 'ERR4036956']
Gene: group_10728, Count of 1s: 6, Samples with 1s: ['ERR4034601', 'ERR4034814', 'ERR4035827', 'ERR4035952', 'ERR4036140', 'ERR4036876']
Gene: group_10777, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035765', 'ERR4036380', 'ERR4036501']
Gene: group_10798, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_1082, Count of 1s: 6, Samples with 1s: ['ERR4034519', 'ERR4034699', 'ERR4035229', 'ERR4035268', 'ERR4036107', 'ERR4036879']
Gene: group_10857, Count of 1s: 6, Samples with 1s: ['ERR4034870', 'ERR4035712', 'ERR4036169', 'ERR4036614', 'ERR4036777', 'ERR4037007']
Gene: group_10897, Count of 1s: 6, Samples with 1s: ['ERR4034301', 'ERR4034864', 'ERR4035328', 'ERR4035561', 'ERR4036154', 'ERR4037392']
Gene: group_1096, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_11036, Count of 1s: 6, Samples with 1s: ['ERR4035268', 'ERR4035765', 'ERR4035970', 'ERR4036171', 'ERR4036930', 'ERR4037009']
Gene: group_11065, Count of 1s: 6, Samples with 1s: ['ERR4034659', 'ERR4035229', 'ERR4036107', 'ERR4036894', 'ERR4036955', 'ERR4037404']
Gene: group_11068, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035431', 'ERR4036245']
Gene: group_11156, Count of 1s: 6, Samples with 1s: ['ERR4034467', 'ERR4034563', 'ERR4035939', 'ERR4036045', 'ERR4036163', 'ERR4037396']
Gene: group_1116, Count of 1s: 6, Samples with 1s: ['ERR4034538', 'ERR4034670', 'ERR4036154', 'ERR4037099', 'ERR4037260', 'ERR4037362']
Gene: group_11196, Count of 1s: 6, Samples with 1s: ['ERR4035236', 'ERR4035561', 'ERR4035690', 'ERR4036154', 'ERR4037202', 'ERR4037392']
Gene: group_11199, Count of 1s: 6, Samples with 1s: ['ERR4034234', 'ERR4034313', 'ERR4035027', 'ERR4035051', 'ERR4036397', 'ERR4037482']
Gene: group_11263, Count of 1s: 6, Samples with 1s: ['ERR4034064', 'ERR4034091', 'ERR4034691', 'ERR4037146', 'ERR4037300', 'ERR4037362']
Gene: group_1129, Count of 1s: 6, Samples with 1s: ['ERR4034475', 'ERR4034915', 'ERR4035318', 'ERR4035712', 'ERR4035919', 'ERR4037202']
Gene: group_11337, Count of 1s: 6, Samples with 1s: ['ERR4034530', 'ERR4034714', 'ERR4035208', 'ERR4035564', 'ERR4036424', 'ERR4036921']
Gene: group_1137, Count of 1s: 6, Samples with 1s: ['ERR4034064', 'ERR4035236', 'ERR4035561', 'ERR4035692', 'ERR4035919', 'ERR4037150']
Gene: group_1139, Count of 1s: 6, Samples with 1s: ['ERR4034944', 'ERR4035318', 'ERR4035765', 'ERR4035970', 'ERR4036154', 'ERR4036501']
Gene: group_1141, Count of 1s: 6, Samples with 1s: ['ERR4034211', 'ERR4034313', 'ERR4034506', 'ERR4034672', 'ERR4036397', 'ERR4037405']
Gene: group_11443, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_11449, Count of 1s: 6, Samples with 1s: ['ERR4034467', 'ERR4035283', 'ERR4035808', 'ERR4036163', 'ERR4036535', 'ERR4036900']
Gene: group_11456, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_11459, Count of 1s: 6, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4035152', 'ERR4036199', 'ERR4036769', 'ERR4036921']
Gene: group_11478, Count of 1s: 6, Samples with 1s: ['ERR4034530', 'ERR4034629', 'ERR4034714', 'ERR4034915', 'ERR4036424', 'ERR4037046']
Gene: group_11497, Count of 1s: 6, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4034864', 'ERR4035328', 'ERR4035765', 'ERR4036380']
Gene: group_11509, Count of 1s: 6, Samples with 1s: ['ERR4035320', 'ERR4035692', 'ERR4035712', 'ERR4035765', 'ERR4036391', 'ERR4036614']
Gene: group_11518, Count of 1s: 6, Samples with 1s: ['ERR4034254', 'ERR4036245', 'ERR4037218', 'ERR4037259', 'ERR4037423', 'ERR4037448']
Gene: group_11544, Count of 1s: 6, Samples with 1s: ['ERR4034971', 'ERR4035208', 'ERR4036501', 'ERR4036794', 'ERR4037260', 'ERR4037329']
Gene: recB_1, Count of 1s: 6, Samples with 1s: ['ERR4034691', 'ERR4034827', 'ERR4035027', 'ERR4035051', 'ERR4036280', 'ERR4037482']
Gene: group_11558, Count of 1s: 6, Samples with 1s: ['ERR4034786', 'ERR4034825', 'ERR4034980', 'ERR4036171', 'ERR4036483', 'ERR4037007']
Gene: group_11608, Count of 1s: 6, Samples with 1s: ['ERR4035238', 'ERR4036171', 'ERR4036178', 'ERR4036764', 'ERR4036769', 'ERR4037260']
Gene: group_11620, Count of 1s: 6, Samples with 1s: ['ERR4034793', 'ERR4034938', 'ERR4035976', 'ERR4036383', 'ERR4036794', 'ERR4036956']
